==============================================
BraTS 2D Federated Learning
Job ID:       22486370
Node(s):      gpu-q-5
Workdir:      /home/bk489/federated/federated-thesis
Script:       /home/bk489/federated/federated-thesis/experiments/brats/brats_n_clients.py
Partition dir:/home/bk489/federated/federated-thesis/data/partitions/brats2d_8client_heterogeneous/client_data
Global test:  /home/bk489/federated/federated-thesis/data/partitions/brats2d_8client_heterogeneous/global_test
Results dir:  /home/bk489/federated/federated-thesis/results/brats
Strategy:     fedprox (mu=0.2)
Model:        UNet2D base=16
Fraction:     1.0 | DropPercent: 0.0
Rounds:       50 | LocalEpochs: 30
Batch:        4 | LR: 0.01 | Seed: 42
WeightDecay:  0.0 | NumWorkers: 2
Python:       /home/bk489/.conda/envs/fed/bin/python
Python 3.9.16 | packaged by conda-forge | (main, Feb  1 2023, 21:39:03) 
[GCC 11.3.0]
PyTorch 2.8.0+cu128 CUDA: 12.8 CUDA available: True Device count: 1
Tue Feb 10 22:51:07 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 570.195.03             Driver Version: 570.195.03     CUDA Version: 12.8     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA A100-SXM4-80GB          On  |   00000000:41:00.0 Off |                    0 |
| N/A   33C    P0             67W /  500W |       0MiB /  81920MiB |      0%      Default |
|                                         |                        |             Disabled |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
==============================================

>>> Running FEDPROX (mu=0.2) ...

Using global_test_dir: /home/bk489/federated/federated-thesis/data/partitions/brats2d_8client_heterogeneous/global_test (180 files)

============================================================
Federated Learning -- FEDPROX
============================================================
Model:          UNet2D (base=16, 482,915 params)
Input channels: 4
Clients:        8
Rounds:         50
Local epochs:   30
Batch size:     4
Learning rate:  0.01
Weight decay:   0.0
Fraction fit:   1.0
Drop percent:   0.0
Proximal mu:    0.2
Device:         cuda
Partition dir:  /home/bk489/federated/federated-thesis/data/partitions/brats2d_8client_heterogeneous/client_data
============================================================

Client data distribution:
  client_0: train=135  test=15
  client_1: train=295  test=40
  client_2: train=140  test=20
  client_3: train=265  test=30
  client_4: train=180  test=25
  client_5: train=180  test=25
  client_6: train=55  test=10
  client_7: train=65  test=10

    Client 5: loss=1.2677, epochs=30
    Client 1: loss=1.2982, epochs=30
    Client 2: loss=1.2597, epochs=30
    Client 0: loss=1.2283, epochs=30
    Client 4: loss=1.2602, epochs=30
    Client 7: loss=1.3627, epochs=30
    Client 3: loss=1.2011, epochs=30
    Client 6: loss=1.2620, epochs=30
  Round   1/50: Pooled Loss=1.0618, Pooled Mean=0.5497 (WT=0.7680 TC=0.3134 ET=0.5677) | C0 Mean=0.5557 | C1 Mean=0.2856 | C2 Mean=0.2803 | C3 Mean=0.4369 | C4 Mean=0.3940 | C5 Mean=0.2708 | C6 Mean=0.5995 | C7 Mean=0.1009 WorstC Mean=0.1009 [178.1s]
    Client 1: loss=0.9661, epochs=30
    Client 2: loss=0.8183, epochs=30
    Client 5: loss=0.9661, epochs=30
    Client 6: loss=0.7803, epochs=30
    Client 4: loss=0.8767, epochs=30
    Client 0: loss=0.7786, epochs=30
    Client 3: loss=0.7383, epochs=30
    Client 7: loss=1.0618, epochs=30
  Round   2/50: Pooled Loss=0.6819, Pooled Mean=0.6989 (WT=0.8325 TC=0.6520 ET=0.6120) | C0 Mean=0.7158 | C1 Mean=0.3814 | C2 Mean=0.3952 | C3 Mean=0.6740 | C4 Mean=0.4690 | C5 Mean=0.3045 | C6 Mean=0.7260 | C7 Mean=0.1209 WorstC Mean=0.1209 [163.9s]
    Client 0: loss=0.4583, epochs=30
    Client 4: loss=0.5676, epochs=30
    Client 1: loss=0.6956, epochs=30
    Client 5: loss=0.7420, epochs=30
    Client 2: loss=0.4905, epochs=30
    Client 7: loss=0.9055, epochs=30
    Client 3: loss=0.4432, epochs=30
    Client 6: loss=0.4587, epochs=30
  Round   3/50: Pooled Loss=0.5046, Pooled Mean=0.7188 (WT=0.8114 TC=0.6518 ET=0.6933) | C0 Mean=0.6815 | C1 Mean=0.5438 | C2 Mean=0.5581 | C3 Mean=0.6985 | C4 Mean=0.5600 | C5 Mean=0.3312 | C6 Mean=0.7258 | C7 Mean=0.1171 WorstC Mean=0.1171 [165.5s]
    Client 3: loss=0.3010, epochs=30
    Client 1: loss=0.5295, epochs=30
    Client 2: loss=0.3320, epochs=30
    Client 6: loss=0.3092, epochs=30
    Client 7: loss=0.8242, epochs=30
    Client 5: loss=0.6340, epochs=30
    Client 0: loss=0.2900, epochs=30
    Client 4: loss=0.4017, epochs=30
  Round   4/50: Pooled Loss=0.4424, Pooled Mean=0.7196 (WT=0.8122 TC=0.6432 ET=0.7033) | C0 Mean=0.6654 | C1 Mean=0.6143 | C2 Mean=0.5708 | C3 Mean=0.7100 | C4 Mean=0.6438 | C5 Mean=0.4106 | C6 Mean=0.6878 | C7 Mean=0.1887 WorstC Mean=0.1887 [164.3s]
    Client 3: loss=0.2268, epochs=30
    Client 6: loss=0.2201, epochs=30
    Client 2: loss=0.2490, epochs=30
    Client 4: loss=0.3124, epochs=30
    Client 1: loss=0.4268, epochs=30
    Client 5: loss=0.5456, epochs=30
    Client 7: loss=0.7658, epochs=30
    Client 0: loss=0.2088, epochs=30
  Round   5/50: Pooled Loss=0.3903, Pooled Mean=0.7506 (WT=0.8273 TC=0.6762 ET=0.7484) | C0 Mean=0.7108 | C1 Mean=0.6700 | C2 Mean=0.5740 | C3 Mean=0.7092 | C4 Mean=0.7024 | C5 Mean=0.4296 | C6 Mean=0.6981 | C7 Mean=0.2424 WorstC Mean=0.2424 [164.0s]
    Client 0: loss=0.1665, epochs=30
    Client 2: loss=0.1976, epochs=30
    Client 1: loss=0.3571, epochs=30
    Client 7: loss=0.7062, epochs=30
    Client 4: loss=0.2596, epochs=30
    Client 3: loss=0.1905, epochs=30
    Client 6: loss=0.1722, epochs=30
    Client 5: loss=0.4751, epochs=30
  Round   6/50: Pooled Loss=0.3585, Pooled Mean=0.7744 (WT=0.8317 TC=0.7182 ET=0.7733) | C0 Mean=0.7575 | C1 Mean=0.7179 | C2 Mean=0.6392 | C3 Mean=0.7450 | C4 Mean=0.7613 | C5 Mean=0.4348 | C6 Mean=0.7482 | C7 Mean=0.3815 WorstC Mean=0.3815 [163.9s]
    Client 5: loss=0.4266, epochs=30
    Client 7: loss=0.7282, epochs=30
    Client 1: loss=0.3126, epochs=30
    Client 0: loss=0.1452, epochs=30
    Client 2: loss=0.1697, epochs=30
    Client 3: loss=0.1617, epochs=30
    Client 6: loss=0.1479, epochs=30
    Client 4: loss=0.2250, epochs=30
  Round   7/50: Pooled Loss=0.3252, Pooled Mean=0.7993 (WT=0.8577 TC=0.7402 ET=0.7999) | C0 Mean=0.7912 | C1 Mean=0.7263 | C2 Mean=0.6779 | C3 Mean=0.7635 | C4 Mean=0.7802 | C5 Mean=0.4428 | C6 Mean=0.7903 | C7 Mean=0.3621 WorstC Mean=0.3621 [164.3s]
    Client 4: loss=0.2021, epochs=30
    Client 0: loss=0.1264, epochs=30
    Client 3: loss=0.1444, epochs=30
    Client 2: loss=0.1504, epochs=30
    Client 6: loss=0.1306, epochs=30
    Client 1: loss=0.2737, epochs=30
    Client 5: loss=0.3871, epochs=30
    Client 7: loss=0.6005, epochs=30
  Round   8/50: Pooled Loss=0.3243, Pooled Mean=0.8004 (WT=0.8537 TC=0.7443 ET=0.8032) | C0 Mean=0.7723 | C1 Mean=0.7510 | C2 Mean=0.6865 | C3 Mean=0.7570 | C4 Mean=0.8023 | C5 Mean=0.4739 | C6 Mean=0.7688 | C7 Mean=0.4268 WorstC Mean=0.4268 [164.5s]
    Client 3: loss=0.1347, epochs=30
    Client 2: loss=0.1354, epochs=30
    Client 7: loss=0.5591, epochs=30
    Client 0: loss=0.1171, epochs=30
    Client 6: loss=0.1248, epochs=30
    Client 4: loss=0.1864, epochs=30
    Client 5: loss=0.3603, epochs=30
    Client 1: loss=0.2452, epochs=30
  Round   9/50: Pooled Loss=0.3210, Pooled Mean=0.8029 (WT=0.8589 TC=0.7518 ET=0.7980) | C0 Mean=0.7849 | C1 Mean=0.7548 | C2 Mean=0.7008 | C3 Mean=0.7626 | C4 Mean=0.8114 | C5 Mean=0.4911 | C6 Mean=0.7859 | C7 Mean=0.4438 WorstC Mean=0.4438 [163.7s]
    Client 4: loss=0.1684, epochs=30
    Client 7: loss=0.5413, epochs=30
    Client 6: loss=0.1129, epochs=30
    Client 5: loss=0.3369, epochs=30
    Client 1: loss=0.2248, epochs=30
    Client 3: loss=0.1376, epochs=30
    Client 2: loss=0.1252, epochs=30
    Client 0: loss=0.1096, epochs=30
  Round  10/50: Pooled Loss=0.3078, Pooled Mean=0.8120 (WT=0.8729 TC=0.7639 ET=0.7991) | C0 Mean=0.8092 | C1 Mean=0.7568 | C2 Mean=0.6742 | C3 Mean=0.7594 | C4 Mean=0.8202 | C5 Mean=0.4740 | C6 Mean=0.8151 | C7 Mean=0.4659 WorstC Mean=0.4659 [163.6s]
    Client 4: loss=0.1551, epochs=30
    Client 1: loss=0.2069, epochs=30
    Client 3: loss=0.1166, epochs=30
    Client 6: loss=0.1071, epochs=30
    Client 5: loss=0.3146, epochs=30
    Client 0: loss=0.1008, epochs=30
    Client 2: loss=0.1189, epochs=30
    Client 7: loss=0.6364, epochs=30
  Round  11/50: Pooled Loss=0.3156, Pooled Mean=0.8035 (WT=0.8644 TC=0.7580 ET=0.7880) | C0 Mean=0.7757 | C1 Mean=0.7672 | C2 Mean=0.7053 | C3 Mean=0.7603 | C4 Mean=0.8280 | C5 Mean=0.4866 | C6 Mean=0.7702 | C7 Mean=0.4908 WorstC Mean=0.4866 [163.5s]
    Client 2: loss=0.1095, epochs=30
    Client 7: loss=0.5851, epochs=30
    Client 6: loss=0.1021, epochs=30
    Client 1: loss=0.1841, epochs=30
    Client 3: loss=0.1111, epochs=30
    Client 0: loss=0.0960, epochs=30
    Client 5: loss=0.2905, epochs=30
    Client 4: loss=0.1392, epochs=30
  Round  12/50: Pooled Loss=0.3152, Pooled Mean=0.8039 (WT=0.8672 TC=0.7606 ET=0.7838) | C0 Mean=0.7868 | C1 Mean=0.7712 | C2 Mean=0.6928 | C3 Mean=0.7664 | C4 Mean=0.8277 | C5 Mean=0.4899 | C6 Mean=0.7908 | C7 Mean=0.4991 WorstC Mean=0.4899 [165.3s]
    Client 0: loss=0.0907, epochs=30
    Client 5: loss=0.2757, epochs=30
    Client 6: loss=0.0987, epochs=30
    Client 3: loss=0.1061, epochs=30
    Client 7: loss=0.4829, epochs=30
    Client 2: loss=0.1022, epochs=30
    Client 4: loss=0.1290, epochs=30
    Client 1: loss=0.1773, epochs=30
  Round  13/50: Pooled Loss=0.3150, Pooled Mean=0.8074 (WT=0.8689 TC=0.7526 ET=0.8008) | C0 Mean=0.8192 | C1 Mean=0.7548 | C2 Mean=0.6290 | C3 Mean=0.7537 | C4 Mean=0.8031 | C5 Mean=0.5217 | C6 Mean=0.7241 | C7 Mean=0.4806 WorstC Mean=0.4806 [164.0s]
    Client 7: loss=0.4070, epochs=30
    Client 2: loss=0.0965, epochs=30
    Client 4: loss=0.1206, epochs=30
    Client 6: loss=0.0943, epochs=30
    Client 1: loss=0.1655, epochs=30
    Client 3: loss=0.1081, epochs=30
    Client 0: loss=0.0875, epochs=30
    Client 5: loss=0.2553, epochs=30
  Round  14/50: Pooled Loss=0.3160, Pooled Mean=0.7974 (WT=0.8742 TC=0.7637 ET=0.7543) | C0 Mean=0.7776 | C1 Mean=0.7546 | C2 Mean=0.6950 | C3 Mean=0.7510 | C4 Mean=0.8145 | C5 Mean=0.4800 | C6 Mean=0.7486 | C7 Mean=0.5014 WorstC Mean=0.4800 [166.5s]
    Client 5: loss=0.2496, epochs=30
    Client 4: loss=0.1153, epochs=30
    Client 6: loss=0.0917, epochs=30
    Client 0: loss=0.0868, epochs=30
    Client 3: loss=0.1004, epochs=30
    Client 7: loss=0.4885, epochs=30
    Client 1: loss=0.1547, epochs=30
    Client 2: loss=0.0930, epochs=30
  Round  15/50: Pooled Loss=0.3108, Pooled Mean=0.8073 (WT=0.8672 TC=0.7685 ET=0.7863) | C0 Mean=0.7974 | C1 Mean=0.7821 | C2 Mean=0.6890 | C3 Mean=0.7704 | C4 Mean=0.8276 | C5 Mean=0.4898 | C6 Mean=0.7747 | C7 Mean=0.5118 WorstC Mean=0.4898 [164.8s]
    Client 7: loss=0.4697, epochs=30
    Client 2: loss=0.0930, epochs=30
    Client 3: loss=0.0969, epochs=30
    Client 0: loss=0.0802, epochs=30
    Client 6: loss=0.0889, epochs=30
    Client 5: loss=0.2365, epochs=30
    Client 4: loss=0.1071, epochs=30
    Client 1: loss=0.1531, epochs=30
  Round  16/50: Pooled Loss=0.3116, Pooled Mean=0.8069 (WT=0.8652 TC=0.7700 ET=0.7855) | C0 Mean=0.8057 | C1 Mean=0.7820 | C2 Mean=0.6994 | C3 Mean=0.7751 | C4 Mean=0.8310 | C5 Mean=0.4987 | C6 Mean=0.7849 | C7 Mean=0.5198 WorstC Mean=0.4987 [163.9s]
    Client 5: loss=0.2298, epochs=30
    Client 7: loss=0.4393, epochs=30
    Client 6: loss=0.0884, epochs=30
    Client 4: loss=0.1008, epochs=30
    Client 0: loss=0.0795, epochs=30
    Client 1: loss=0.1395, epochs=30
    Client 2: loss=0.0864, epochs=30
    Client 3: loss=0.0919, epochs=30
  Round  17/50: Pooled Loss=0.3154, Pooled Mean=0.8049 (WT=0.8609 TC=0.7694 ET=0.7844) | C0 Mean=0.7971 | C1 Mean=0.7878 | C2 Mean=0.6896 | C3 Mean=0.7752 | C4 Mean=0.8413 | C5 Mean=0.4866 | C6 Mean=0.7828 | C7 Mean=0.5203 WorstC Mean=0.4866 [164.2s]
    Client 3: loss=0.0900, epochs=30
    Client 1: loss=0.1354, epochs=30
    Client 0: loss=0.0780, epochs=30
    Client 2: loss=0.0823, epochs=30
    Client 4: loss=0.0981, epochs=30
    Client 5: loss=0.2110, epochs=30
    Client 6: loss=0.0861, epochs=30
    Client 7: loss=0.4240, epochs=30
  Round  18/50: Pooled Loss=0.3235, Pooled Mean=0.7945 (WT=0.8608 TC=0.7587 ET=0.7639) | C0 Mean=0.7810 | C1 Mean=0.7711 | C2 Mean=0.6997 | C3 Mean=0.7678 | C4 Mean=0.8339 | C5 Mean=0.4928 | C6 Mean=0.7657 | C7 Mean=0.5383 WorstC Mean=0.4928 [164.5s]
    Client 0: loss=0.0774, epochs=30
    Client 6: loss=0.0877, epochs=30
    Client 7: loss=0.4180, epochs=30
    Client 3: loss=0.0882, epochs=30
    Client 4: loss=0.0953, epochs=30
    Client 2: loss=0.0829, epochs=30
    Client 1: loss=0.1233, epochs=30
    Client 5: loss=0.2014, epochs=30
